,sentence,bigrams,trigrams
10,قسم بالله حسيت معدتي اقشعرت ورق قلبي  لما شفت موضوع عصبان تحياتي لتونس عصبان  اخو من سور,"[('قسم', 'بالله'), ('بالله', 'حسيت'), ('حسيت', 'معدتي'), ('معدتي', 'اقشعرت'), ('اقشعرت', 'ورق'), ('ورق', 'قلبي'), ('قلبي', ''), ('', 'لما'), ('لما', 'شفت'), ('شفت', 'موضوع'), ('موضوع', 'عصبان'), ('عصبان', 'تحياتي'), ('تحياتي', 'لتونس'), ('لتونس', 'عصبان'), ('عصبان', ''), ('', 'اخو'), ('اخو', 'من'), ('من', 'سور')]","[('قسم', 'بالله', 'حسيت'), ('بالله', 'حسيت', 'معدتي'), ('حسيت', 'معدتي', 'اقشعرت'), ('معدتي', 'اقشعرت', 'ورق'), ('اقشعرت', 'ورق', 'قلبي'), ('ورق', 'قلبي', ''), ('قلبي', '', 'لما'), ('', 'لما', 'شفت'), ('لما', 'شفت', 'موضوع'), ('شفت', 'موضوع', 'عصبان'), ('موضوع', 'عصبان', 'تحياتي'), ('عصبان', 'تحياتي', 'لتونس'), ('تحياتي', 'لتونس', 'عصبان'), ('لتونس', 'عصبان', ''), ('عصبان', '', 'اخو'), ('', 'اخو', 'من'), ('اخو', 'من', 'سور')]"
11,تحيا كبير من مغرب الي تونس لحبيبه والله انا احبك ,"[('تحيا', 'كبير'), ('كبير', 'من'), ('من', 'مغرب'), ('مغرب', 'الي'), ('الي', 'تونس'), ('تونس', 'لحبيبه'), ('لحبيبه', 'والله'), ('والله', 'انا'), ('انا', 'احبك'), ('احبك', '')]","[('تحيا', 'كبير', 'من'), ('كبير', 'من', 'مغرب'), ('من', 'مغرب', 'الي'), ('مغرب', 'الي', 'تونس'), ('الي', 'تونس', 'لحبيبه'), ('تونس', 'لحبيبه', 'والله'), ('لحبيبه', 'والله', 'انا'), ('والله', 'انا', 'احبك'), ('انا', 'احبك', '')]"
12,انا جزائري اتف شعورك مع عصبان,"[('انا', 'جزائري'), ('جزائري', 'اتف'), ('اتف', 'شعورك'), ('شعورك', 'مع'), ('مع', 'عصبان')]","[('انا', 'جزائري', 'اتف'), ('جزائري', 'اتف', 'شعورك'), ('اتف', 'شعورك', 'مع'), ('شعورك', 'مع', 'عصبان')]"
13,انا من دزاير ونقول احسن جير واقرب لقلوب,"[('انا', 'من'), ('من', 'دزاير'), ('دزاير', 'ونقول'), ('ونقول', 'احسن'), ('احسن', 'جير'), ('جير', 'واقرب'), ('واقرب', 'لقلوب')]","[('انا', 'من', 'دزاير'), ('من', 'دزاير', 'ونقول'), ('دزاير', 'ونقول', 'احسن'), ('ونقول', 'احسن', 'جير'), ('احسن', 'جير', 'واقرب'), ('جير', 'واقرب', 'لقلوب')]"
14,موللللعه حلقه مال اليوم  عاشت ايدك وتيحاتي شعب تونسي,"[('موللللعه', 'حلقه'), ('حلقه', 'مال'), ('مال', 'اليوم'), ('اليوم', ''), ('', 'عاشت'), ('عاشت', 'ايدك'), ('ايدك', 'وتيحاتي'), ('وتيحاتي', 'شعب'), ('شعب', 'تونسي')]","[('موللللعه', 'حلقه', 'مال'), ('حلقه', 'مال', 'اليوم'), ('مال', 'اليوم', ''), ('اليوم', '', 'عاشت'), ('', 'عاشت', 'ايدك'), ('عاشت', 'ايدك', 'وتيحاتي'), ('ايدك', 'وتيحاتي', 'شعب'), ('وتيحاتي', 'شعب', 'تونسي')]"
15,امنيتي ازور تونس مغرب جزائر وليب واتعرف علي ثقافت وعادات تحياتي من سوريا,"[('امنيتي', 'ازور'), ('ازور', 'تونس'), ('تونس', 'مغرب'), ('مغرب', 'جزائر'), ('جزائر', 'وليب'), ('وليب', 'واتعرف'), ('واتعرف', 'علي'), ('علي', 'ثقافت'), ('ثقافت', 'وعادات'), ('وعادات', 'تحياتي'), ('تحياتي', 'من'), ('من', 'سوريا')]","[('امنيتي', 'ازور', 'تونس'), ('ازور', 'تونس', 'مغرب'), ('تونس', 'مغرب', 'جزائر'), ('مغرب', 'جزائر', 'وليب'), ('جزائر', 'وليب', 'واتعرف'), ('وليب', 'واتعرف', 'علي'), ('واتعرف', 'علي', 'ثقافت'), ('علي', 'ثقافت', 'وعادات'), ('ثقافت', 'وعادات', 'تحياتي'), ('وعادات', 'تحياتي', 'من'), ('تحياتي', 'من', 'سوريا')]"
16,لو اكل تونسي ياخذ حظو في انتشار و الله اتراك لا يوصلو ربع لذه او تنوع اكلنا الله يحمي تونس و شكرا لكل عرب علي كلام طيب سافرت و ذقت كثير صدقو تونس غير,"[('لو', 'اكل'), ('اكل', 'تونسي'), ('تونسي', 'ياخذ'), ('ياخذ', 'حظو'), ('حظو', 'في'), ('في', 'انتشار'), ('انتشار', 'و'), ('و', 'الله'), ('الله', 'اتراك'), ('اتراك', 'لا'), ('لا', 'يوصلو'), ('يوصلو', 'ربع'), ('ربع', 'لذه'), ('لذه', 'او'), ('او', 'تنوع'), ('تنوع', 'اكلنا'), ('اكلنا', 'الله'), ('الله', 'يحمي'), ('يحمي', 'تونس'), ('تونس', 'و'), ('و', 'شكرا'), ('شكرا', 'لكل'), ('لكل', 'عرب'), ('عرب', 'علي'), ('علي', 'كلام'), ('كلام', 'طيب'), ('طيب', 'سافرت'), ('سافرت', 'و'), ('و', 'ذقت'), ('ذقت', 'كثير'), ('كثير', 'صدقو'), ('صدقو', 'تونس'), ('تونس', 'غير')]","[('لو', 'اكل', 'تونسي'), ('اكل', 'تونسي', 'ياخذ'), ('تونسي', 'ياخذ', 'حظو'), ('ياخذ', 'حظو', 'في'), ('حظو', 'في', 'انتشار'), ('في', 'انتشار', 'و'), ('انتشار', 'و', 'الله'), ('و', 'الله', 'اتراك'), ('الله', 'اتراك', 'لا'), ('اتراك', 'لا', 'يوصلو'), ('لا', 'يوصلو', 'ربع'), ('يوصلو', 'ربع', 'لذه'), ('ربع', 'لذه', 'او'), ('لذه', 'او', 'تنوع'), ('او', 'تنوع', 'اكلنا'), ('تنوع', 'اكلنا', 'الله'), ('اكلنا', 'الله', 'يحمي'), ('الله', 'يحمي', 'تونس'), ('يحمي', 'تونس', 'و'), ('تونس', 'و', 'شكرا'), ('و', 'شكرا', 'لكل'), ('شكرا', 'لكل', 'عرب'), ('لكل', 'عرب', 'علي'), ('عرب', 'علي', 'كلام'), ('علي', 'كلام', 'طيب'), ('كلام', 'طيب', 'سافرت'), ('طيب', 'سافرت', 'و'), ('سافرت', 'و', 'ذقت'), ('و', 'ذقت', 'كثير'), ('ذقت', 'كثير', 'صدقو'), ('كثير', 'صدقو', 'تونس'), ('صدقو', 'تونس', 'غير')]"
17,صراحه عجب اكل يامي  تحياتي من مغرب ,"[('صراحه', 'عجب'), ('عجب', 'اكل'), ('اكل', 'يامي'), ('يامي', ''), ('', 'تحياتي'), ('تحياتي', 'من'), ('من', 'مغرب'), ('مغرب', '')]","[('صراحه', 'عجب', 'اكل'), ('عجب', 'اكل', 'يامي'), ('اكل', 'يامي', ''), ('يامي', '', 'تحياتي'), ('', 'تحياتي', 'من'), ('تحياتي', 'من', 'مغرب'), ('من', 'مغرب', '')]"
18,ما شاء الله علي شعب تونسي رائع تحيه لكم من مغربيه ,"[('ما', 'شاء'), ('شاء', 'الله'), ('الله', 'علي'), ('علي', 'شعب'), ('شعب', 'تونسي'), ('تونسي', 'رائع'), ('رائع', 'تحيه'), ('تحيه', 'لكم'), ('لكم', 'من'), ('من', 'مغربيه'), ('مغربيه', '')]","[('ما', 'شاء', 'الله'), ('شاء', 'الله', 'علي'), ('الله', 'علي', 'شعب'), ('علي', 'شعب', 'تونسي'), ('شعب', 'تونسي', 'رائع'), ('تونسي', 'رائع', 'تحيه'), ('رائع', 'تحيه', 'لكم'), ('تحيه', 'لكم', 'من'), ('لكم', 'من', 'مغربيه'), ('من', 'مغربيه', '')]"
19,شكرا علي زياره بلادي عزيزه حابه اقول للكل هنا انو فيكم تاكلو كل شي من غير هريسه لو ما متعود عليها و طعم يضلو لذيذ صحيح اغلب تونسي ياكل الحر بس في تونسي ما يكلو حر فعرف انو فيكم كمان كل شي تاكل من غير اضافه هريسه ,"[('شكرا', 'علي'), ('علي', 'زياره'), ('زياره', 'بلادي'), ('بلادي', 'عزيزه'), ('عزيزه', 'حابه'), ('حابه', 'اقول'), ('اقول', 'للكل'), ('للكل', 'هنا'), ('هنا', 'انو'), ('انو', 'فيكم'), ('فيكم', 'تاكلو'), ('تاكلو', 'كل'), ('كل', 'شي'), ('شي', 'من'), ('من', 'غير'), ('غير', 'هريسه'), ('هريسه', 'لو'), ('لو', 'ما'), ('ما', 'متعود'), ('متعود', 'عليها'), ('عليها', 'و'), ('و', 'طعم'), ('طعم', 'يضلو'), ('يضلو', 'لذيذ'), ('لذيذ', 'صحيح'), ('صحيح', 'اغلب'), ('اغلب', 'تونسي'), ('تونسي', 'ياكل'), ('ياكل', 'الحر'), ('الحر', 'بس'), ('بس', 'في'), ('في', 'تونسي'), ('تونسي', 'ما'), ('ما', 'يكلو'), ('يكلو', 'حر'), ('حر', 'فعرف'), ('فعرف', 'انو'), ('انو', 'فيكم'), ('فيكم', 'كمان'), ('كمان', 'كل'), ('كل', 'شي'), ('شي', 'تاكل'), ('تاكل', 'من'), ('من', 'غير'), ('غير', 'اضافه'), ('اضافه', 'هريسه'), ('هريسه', '')]","[('شكرا', 'علي', 'زياره'), ('علي', 'زياره', 'بلادي'), ('زياره', 'بلادي', 'عزيزه'), ('بلادي', 'عزيزه', 'حابه'), ('عزيزه', 'حابه', 'اقول'), ('حابه', 'اقول', 'للكل'), ('اقول', 'للكل', 'هنا'), ('للكل', 'هنا', 'انو'), ('هنا', 'انو', 'فيكم'), ('انو', 'فيكم', 'تاكلو'), ('فيكم', 'تاكلو', 'كل'), ('تاكلو', 'كل', 'شي'), ('كل', 'شي', 'من'), ('شي', 'من', 'غير'), ('من', 'غير', 'هريسه'), ('غير', 'هريسه', 'لو'), ('هريسه', 'لو', 'ما'), ('لو', 'ما', 'متعود'), ('ما', 'متعود', 'عليها'), ('متعود', 'عليها', 'و'), ('عليها', 'و', 'طعم'), ('و', 'طعم', 'يضلو'), ('طعم', 'يضلو', 'لذيذ'), ('يضلو', 'لذيذ', 'صحيح'), ('لذيذ', 'صحيح', 'اغلب'), ('صحيح', 'اغلب', 'تونسي'), ('اغلب', 'تونسي', 'ياكل'), ('تونسي', 'ياكل', 'الحر'), ('ياكل', 'الحر', 'بس'), ('الحر', 'بس', 'في'), ('بس', 'في', 'تونسي'), ('في', 'تونسي', 'ما'), ('تونسي', 'ما', 'يكلو'), ('ما', 'يكلو', 'حر'), ('يكلو', 'حر', 'فعرف'), ('حر', 'فعرف', 'انو'), ('فعرف', 'انو', 'فيكم'), ('انو', 'فيكم', 'كمان'), ('فيكم', 'كمان', 'كل'), ('كمان', 'كل', 'شي'), ('كل', 'شي', 'تاكل'), ('شي', 'تاكل', 'من'), ('تاكل', 'من', 'غير'), ('من', 'غير', 'اضافه'), ('غير', 'اضافه', 'هريسه'), ('اضافه', 'هريسه', '')]"
20,تونس من افضل دول سياحيه  تنوع كبير  امكانيات ممتازه المعامله راقيه انصح بزيارتها والله جوعت يا باسل الله ايفك من كورونا اخو من طرابلس قره بوللي ليبيا,"[('تونس', 'من'), ('من', 'افضل'), ('افضل', 'دول'), ('دول', 'سياحيه'), ('سياحيه', ''), ('', 'تنوع'), ('تنوع', 'كبير'), ('كبير', ''), ('', 'امكانيات'), ('امكانيات', 'ممتازه'), ('ممتازه', 'المعامله'), ('المعامله', 'راقيه'), ('راقيه', 'انصح'), ('انصح', 'بزيارتها'), ('بزيارتها', 'والله'), ('والله', 'جوعت'), ('جوعت', 'يا'), ('يا', 'باسل'), ('باسل', 'الله'), ('الله', 'ايفك'), ('ايفك', 'من'), ('من', 'كورونا'), ('كورونا', 'اخو'), ('اخو', 'من'), ('من', 'طرابلس'), ('طرابلس', 'قره'), ('قره', 'بوللي'), ('بوللي', 'ليبيا')]","[('تونس', 'من', 'افضل'), ('من', 'افضل', 'دول'), ('افضل', 'دول', 'سياحيه'), ('دول', 'سياحيه', ''), ('سياحيه', '', 'تنوع'), ('', 'تنوع', 'كبير'), ('تنوع', 'كبير', ''), ('كبير', '', 'امكانيات'), ('', 'امكانيات', 'ممتازه'), ('امكانيات', 'ممتازه', 'المعامله'), ('ممتازه', 'المعامله', 'راقيه'), ('المعامله', 'راقيه', 'انصح'), ('راقيه', 'انصح', 'بزيارتها'), ('انصح', 'بزيارتها', 'والله'), ('بزيارتها', 'والله', 'جوعت'), ('والله', 'جوعت', 'يا'), ('جوعت', 'يا', 'باسل'), ('يا', 'باسل', 'الله'), ('باسل', 'الله', 'ايفك'), ('الله', 'ايفك', 'من'), ('ايفك', 'من', 'كورونا'), ('من', 'كورونا', 'اخو'), ('كورونا', 'اخو', 'من'), ('اخو', 'من', 'طرابلس'), ('من', 'طرابلس', 'قره'), ('طرابلس', 'قره', 'بوللي'), ('قره', 'بوللي', 'ليبيا')]"
