,sentence,bigrams
10,قسم بالله حسيت معدتي اقشعرت ورق قلبي  لما شفت موضوع عصبان تحياتي لتونس عصبان  اخو من سور,"[('قسم', 'بالله'), ('بالله', 'حسيت'), ('حسيت', 'معدتي'), ('معدتي', 'اقشعرت'), ('اقشعرت', 'ورق'), ('ورق', 'قلبي'), ('قلبي', ''), ('', 'لما'), ('لما', 'شفت'), ('شفت', 'موضوع'), ('موضوع', 'عصبان'), ('عصبان', 'تحياتي'), ('تحياتي', 'لتونس'), ('لتونس', 'عصبان'), ('عصبان', ''), ('', 'اخو'), ('اخو', 'من'), ('من', 'سور')]"
11,تحيا كبير من مغرب الي تونس لحبيبه والله انا احبك ,"[('تحيا', 'كبير'), ('كبير', 'من'), ('من', 'مغرب'), ('مغرب', 'الي'), ('الي', 'تونس'), ('تونس', 'لحبيبه'), ('لحبيبه', 'والله'), ('والله', 'انا'), ('انا', 'احبك'), ('احبك', '')]"
12,انا جزائري اتف شعورك مع عصبان,"[('انا', 'جزائري'), ('جزائري', 'اتف'), ('اتف', 'شعورك'), ('شعورك', 'مع'), ('مع', 'عصبان')]"
13,انا من دزاير ونقول احسن جير واقرب لقلوب,"[('انا', 'من'), ('من', 'دزاير'), ('دزاير', 'ونقول'), ('ونقول', 'احسن'), ('احسن', 'جير'), ('جير', 'واقرب'), ('واقرب', 'لقلوب')]"
14,موللللعه حلقه مال اليوم  عاشت ايدك وتيحاتي شعب تونسي,"[('موللللعه', 'حلقه'), ('حلقه', 'مال'), ('مال', 'اليوم'), ('اليوم', ''), ('', 'عاشت'), ('عاشت', 'ايدك'), ('ايدك', 'وتيحاتي'), ('وتيحاتي', 'شعب'), ('شعب', 'تونسي')]"
15,امنيتي ازور تونس مغرب جزائر وليب واتعرف علي ثقافت وعادات تحياتي من سوريا,"[('امنيتي', 'ازور'), ('ازور', 'تونس'), ('تونس', 'مغرب'), ('مغرب', 'جزائر'), ('جزائر', 'وليب'), ('وليب', 'واتعرف'), ('واتعرف', 'علي'), ('علي', 'ثقافت'), ('ثقافت', 'وعادات'), ('وعادات', 'تحياتي'), ('تحياتي', 'من'), ('من', 'سوريا')]"
16,لو اكل تونسي ياخذ حظو في انتشار و الله اتراك لا يوصلو ربع لذه او تنوع اكلنا الله يحمي تونس و شكرا لكل عرب علي كلام طيب سافرت و ذقت كثير صدقو تونس غير,"[('لو', 'اكل'), ('اكل', 'تونسي'), ('تونسي', 'ياخذ'), ('ياخذ', 'حظو'), ('حظو', 'في'), ('في', 'انتشار'), ('انتشار', 'و'), ('و', 'الله'), ('الله', 'اتراك'), ('اتراك', 'لا'), ('لا', 'يوصلو'), ('يوصلو', 'ربع'), ('ربع', 'لذه'), ('لذه', 'او'), ('او', 'تنوع'), ('تنوع', 'اكلنا'), ('اكلنا', 'الله'), ('الله', 'يحمي'), ('يحمي', 'تونس'), ('تونس', 'و'), ('و', 'شكرا'), ('شكرا', 'لكل'), ('لكل', 'عرب'), ('عرب', 'علي'), ('علي', 'كلام'), ('كلام', 'طيب'), ('طيب', 'سافرت'), ('سافرت', 'و'), ('و', 'ذقت'), ('ذقت', 'كثير'), ('كثير', 'صدقو'), ('صدقو', 'تونس'), ('تونس', 'غير')]"
17,صراحه عجب اكل يامي  تحياتي من مغرب ,"[('صراحه', 'عجب'), ('عجب', 'اكل'), ('اكل', 'يامي'), ('يامي', ''), ('', 'تحياتي'), ('تحياتي', 'من'), ('من', 'مغرب'), ('مغرب', '')]"
18,ما شاء الله علي شعب تونسي رائع تحيه لكم من مغربيه ,"[('ما', 'شاء'), ('شاء', 'الله'), ('الله', 'علي'), ('علي', 'شعب'), ('شعب', 'تونسي'), ('تونسي', 'رائع'), ('رائع', 'تحيه'), ('تحيه', 'لكم'), ('لكم', 'من'), ('من', 'مغربيه'), ('مغربيه', '')]"
19,شكرا علي زياره بلادي عزيزه حابه اقول للكل هنا انو فيكم تاكلو كل شي من غير هريسه لو ما متعود عليها و طعم يضلو لذيذ صحيح اغلب تونسي ياكل الحر بس في تونسي ما يكلو حر فعرف انو فيكم كمان كل شي تاكل من غير اضافه هريسه ,"[('شكرا', 'علي'), ('علي', 'زياره'), ('زياره', 'بلادي'), ('بلادي', 'عزيزه'), ('عزيزه', 'حابه'), ('حابه', 'اقول'), ('اقول', 'للكل'), ('للكل', 'هنا'), ('هنا', 'انو'), ('انو', 'فيكم'), ('فيكم', 'تاكلو'), ('تاكلو', 'كل'), ('كل', 'شي'), ('شي', 'من'), ('من', 'غير'), ('غير', 'هريسه'), ('هريسه', 'لو'), ('لو', 'ما'), ('ما', 'متعود'), ('متعود', 'عليها'), ('عليها', 'و'), ('و', 'طعم'), ('طعم', 'يضلو'), ('يضلو', 'لذيذ'), ('لذيذ', 'صحيح'), ('صحيح', 'اغلب'), ('اغلب', 'تونسي'), ('تونسي', 'ياكل'), ('ياكل', 'الحر'), ('الحر', 'بس'), ('بس', 'في'), ('في', 'تونسي'), ('تونسي', 'ما'), ('ما', 'يكلو'), ('يكلو', 'حر'), ('حر', 'فعرف'), ('فعرف', 'انو'), ('انو', 'فيكم'), ('فيكم', 'كمان'), ('كمان', 'كل'), ('كل', 'شي'), ('شي', 'تاكل'), ('تاكل', 'من'), ('من', 'غير'), ('غير', 'اضافه'), ('اضافه', 'هريسه'), ('هريسه', '')]"
20,تونس من افضل دول سياحيه  تنوع كبير  امكانيات ممتازه المعامله راقيه انصح بزيارتها والله جوعت يا باسل الله ايفك من كورونا اخو من طرابلس قره بوللي ليبيا,"[('تونس', 'من'), ('من', 'افضل'), ('افضل', 'دول'), ('دول', 'سياحيه'), ('سياحيه', ''), ('', 'تنوع'), ('تنوع', 'كبير'), ('كبير', ''), ('', 'امكانيات'), ('امكانيات', 'ممتازه'), ('ممتازه', 'المعامله'), ('المعامله', 'راقيه'), ('راقيه', 'انصح'), ('انصح', 'بزيارتها'), ('بزيارتها', 'والله'), ('والله', 'جوعت'), ('جوعت', 'يا'), ('يا', 'باسل'), ('باسل', 'الله'), ('الله', 'ايفك'), ('ايفك', 'من'), ('من', 'كورونا'), ('كورونا', 'اخو'), ('اخو', 'من'), ('من', 'طرابلس'), ('طرابلس', 'قره'), ('قره', 'بوللي'), ('بوللي', 'ليبيا')]"
21,هذا شاب تونسي شهم وانا مستعد استضيفه بفلسط من مطار واك مرشده سياحي واوفرله مسكن وكل شيء يحتاجه من اكل وغيره لحين ميغادر,"[('هذا', 'شاب'), ('شاب', 'تونسي'), ('تونسي', 'شهم'), ('شهم', 'وانا'), ('وانا', 'مستعد'), ('مستعد', 'استضيفه'), ('استضيفه', 'بفلسط'), ('بفلسط', 'من'), ('من', 'مطار'), ('مطار', 'واك'), ('واك', 'مرشده'), ('مرشده', 'سياحي'), ('سياحي', 'واوفرله'), ('واوفرله', 'مسكن'), ('مسكن', 'وكل'), ('وكل', 'شيء'), ('شيء', 'يحتاجه'), ('يحتاجه', 'من'), ('من', 'اكل'), ('اكل', 'وغيره'), ('وغيره', 'لحين'), ('لحين', 'ميغادر')]"
22,انا من جزاٸر  عاشق ملوخیه تونسیه من زمن طفوله الام تطبخ مولوخیه تونسیه علی طریقه تونسیه و حتی توابل تونسیه و تعلمت علی جده ربی یحفضها تحیه من جزاٸر لکل توانسه و مغرب عربی وبلاد مسلمین خاصه فلسطین حبیبه محتله,"[('انا', 'من'), ('من', 'جزاٸر'), ('جزاٸر', ''), ('', 'عاشق'), ('عاشق', 'ملوخیه'), ('ملوخیه', 'تونسیه'), ('تونسیه', 'من'), ('من', 'زمن'), ('زمن', 'طفوله'), ('طفوله', 'الام'), ('الام', 'تطبخ'), ('تطبخ', 'مولوخیه'), ('مولوخیه', 'تونسیه'), ('تونسیه', 'علی'), ('علی', 'طریقه'), ('طریقه', 'تونسیه'), ('تونسیه', 'و'), ('و', 'حتی'), ('حتی', 'توابل'), ('توابل', 'تونسیه'), ('تونسیه', 'و'), ('و', 'تعلمت'), ('تعلمت', 'علی'), ('علی', 'جده'), ('جده', 'ربی'), ('ربی', 'یحفضها'), ('یحفضها', 'تحیه'), ('تحیه', 'من'), ('من', 'جزاٸر'), ('جزاٸر', 'لکل'), ('لکل', 'توانسه'), ('توانسه', 'و'), ('و', 'مغرب'), ('مغرب', 'عربی'), ('عربی', 'وبلاد'), ('وبلاد', 'مسلمین'), ('مسلمین', 'خاصه'), ('خاصه', 'فلسطین'), ('فلسطین', 'حبیبه'), ('حبیبه', 'محتله')]"
23,انا بعشق تونس  واهل تونس  لهجه تونسيه اخو من سوريه ,"[('انا', 'بعشق'), ('بعشق', 'تونس'), ('تونس', ''), ('', 'واهل'), ('واهل', 'تونس'), ('تونس', ''), ('', 'لهجه'), ('لهجه', 'تونسيه'), ('تونسيه', 'اخو'), ('اخو', 'من'), ('من', 'سوريه'), ('سوريه', '')]"
24,تحيا من مغرب لاهل تونس كنبغي بزاف,"[('تحيا', 'من'), ('من', 'مغرب'), ('مغرب', 'لاهل'), ('لاهل', 'تونس'), ('تونس', 'كنبغي'), ('كنبغي', 'بزاف')]"
25,صدقو يا اخون افرح كثير من قلب عند اري عائله فيها خير بركه كرم حفظ الله اهل تونس,"[('صدقو', 'يا'), ('يا', 'اخون'), ('اخون', 'افرح'), ('افرح', 'كثير'), ('كثير', 'من'), ('من', 'قلب'), ('قلب', 'عند'), ('عند', 'اري'), ('اري', 'عائله'), ('عائله', 'فيها'), ('فيها', 'خير'), ('خير', 'بركه'), ('بركه', 'كرم'), ('كرم', 'حفظ'), ('حفظ', 'الله'), ('الله', 'اهل'), ('اهل', 'تونس')]"
26,انا من مغرب و باغيه بزاف نجي تونس والله,"[('انا', 'من'), ('من', 'مغرب'), ('مغرب', 'و'), ('و', 'باغيه'), ('باغيه', 'بزاف'), ('بزاف', 'نجي'), ('نجي', 'تونس'), ('تونس', 'والله')]"
27,فعلا اكل تونسي عشق لا ينتهي و خاصه كسكسي عصبان رهيب و كسكسي حوت ولا اروع  نموت علي اكل جرا توانسه تحيه ليكم من جزائر ,"[('فعلا', 'اكل'), ('اكل', 'تونسي'), ('تونسي', 'عشق'), ('عشق', 'لا'), ('لا', 'ينتهي'), ('ينتهي', 'و'), ('و', 'خاصه'), ('خاصه', 'كسكسي'), ('كسكسي', 'عصبان'), ('عصبان', 'رهيب'), ('رهيب', 'و'), ('و', 'كسكسي'), ('كسكسي', 'حوت'), ('حوت', 'ولا'), ('ولا', 'اروع'), ('اروع', ''), ('', 'نموت'), ('نموت', 'علي'), ('علي', 'اكل'), ('اكل', 'جرا'), ('جرا', 'توانسه'), ('توانسه', 'تحيه'), ('تحيه', 'ليكم'), ('ليكم', 'من'), ('من', 'جزائر'), ('جزائر', '')]"
28,زور جزائر اخي,"[('زور', 'جزائر'), ('جزائر', 'اخي')]"
29,عائله محترمه تحيه الكم من سور,"[('عائله', 'محترمه'), ('محترمه', 'تحيه'), ('تحيه', 'الكم'), ('الكم', 'من'), ('من', 'سور')]"
30,الي من تونس و جزائر وليب مغرب سعوديه وفلسط قطروالبحر و جميع بلد عرب لايك ,"[('الي', 'من'), ('من', 'تونس'), ('تونس', 'و'), ('و', 'جزائر'), ('جزائر', 'وليب'), ('وليب', 'مغرب'), ('مغرب', 'سعوديه'), ('سعوديه', 'وفلسط'), ('وفلسط', 'قطروالبحر'), ('قطروالبحر', 'و'), ('و', 'جميع'), ('جميع', 'بلد'), ('بلد', 'عرب'), ('عرب', 'لايك'), ('لايك', '')]"
31,انا بعشق تونس واهل تونس واكل تونس ربنا يزيد من نعيم الله انا بعمل اكل مصريه وشاطره فيها زورو حبايبي وشجعو استمر,"[('انا', 'بعشق'), ('بعشق', 'تونس'), ('تونس', 'واهل'), ('واهل', 'تونس'), ('تونس', 'واكل'), ('واكل', 'تونس'), ('تونس', 'ربنا'), ('ربنا', 'يزيد'), ('يزيد', 'من'), ('من', 'نعيم'), ('نعيم', 'الله'), ('الله', 'انا'), ('انا', 'بعمل'), ('بعمل', 'اكل'), ('اكل', 'مصريه'), ('مصريه', 'وشاطره'), ('وشاطره', 'فيها'), ('فيها', 'زورو'), ('زورو', 'حبايبي'), ('حبايبي', 'وشجعو'), ('وشجعو', 'استمر')]"
32,انا تونسيه حبيت نشكرك كل انس بحب بلدي او قال كلمه حلوه عنوان ٠٠ شكرا فرحتو برشا دموعي عم تنزل لما كنت شوف تعليقات لكم الف تحيه ,"[('انا', 'تونسيه'), ('تونسيه', 'حبيت'), ('حبيت', 'نشكرك'), ('نشكرك', 'كل'), ('كل', 'انس'), ('انس', 'بحب'), ('بحب', 'بلدي'), ('بلدي', 'او'), ('او', 'قال'), ('قال', 'كلمه'), ('كلمه', 'حلوه'), ('حلوه', 'عنوان'), ('عنوان', '٠٠'), ('٠٠', 'شكرا'), ('شكرا', 'فرحتو'), ('فرحتو', 'برشا'), ('برشا', 'دموعي'), ('دموعي', 'عم'), ('عم', 'تنزل'), ('تنزل', 'لما'), ('لما', 'كنت'), ('كنت', 'شوف'), ('شوف', 'تعليقات'), ('تعليقات', 'لكم'), ('لكم', 'الف'), ('الف', 'تحيه'), ('تحيه', '')]"
33,تحيه من جزائري لبلدي غالي تونس,"[('تحيه', 'من'), ('من', 'جزائري'), ('جزائري', 'لبلدي'), ('لبلدي', 'غالي'), ('غالي', 'تونس')]"
34,ورب بيت احب اعيش في تونس بعد بلدي واتمني اني ازور تونس ,"[('ورب', 'بيت'), ('بيت', 'احب'), ('احب', 'اعيش'), ('اعيش', 'في'), ('في', 'تونس'), ('تونس', 'بعد'), ('بعد', 'بلدي'), ('بلدي', 'واتمني'), ('واتمني', 'اني'), ('اني', 'ازور'), ('ازور', 'تونس'), ('تونس', '')]"
35,تحيه من مصر لحبايب توانسه ,"[('تحيه', 'من'), ('من', 'مصر'), ('مصر', 'لحبايب'), ('لحبايب', 'توانسه'), ('توانسه', '')]"
36,تحياتي شعب تونسي كريم مضياف من لبن  بس شو بل نسبه ناس الي عامله دس لايك١,"[('تحياتي', 'شعب'), ('شعب', 'تونسي'), ('تونسي', 'كريم'), ('كريم', 'مضياف'), ('مضياف', 'من'), ('من', 'لبن'), ('لبن', ''), ('', 'بس'), ('بس', 'شو'), ('شو', 'بل'), ('بل', 'نسبه'), ('نسبه', 'ناس'), ('ناس', 'الي'), ('الي', 'عامله'), ('عامله', 'دس'), ('دس', 'لايك١')]"
37,تحيه لبلدي تاني تونس و تحيه لصديقي عبدالكريم عماره من صفاقس لما نكون في تونس نحس نفسي اني في ليب و كاني مش غريب,"[('تحيه', 'لبلدي'), ('لبلدي', 'تاني'), ('تاني', 'تونس'), ('تونس', 'و'), ('و', 'تحيه'), ('تحيه', 'لصديقي'), ('لصديقي', 'عبدالكريم'), ('عبدالكريم', 'عماره'), ('عماره', 'من'), ('من', 'صفاقس'), ('صفاقس', 'لما'), ('لما', 'نكون'), ('نكون', 'في'), ('في', 'تونس'), ('تونس', 'نحس'), ('نحس', 'نفسي'), ('نفسي', 'اني'), ('اني', 'في'), ('في', 'ليب'), ('ليب', 'و'), ('و', 'كاني'), ('كاني', 'مش'), ('مش', 'غريب')]"
38,انا عشت في تونس حولي 3 سنوات اصغر ابنائي مولود في تونس عاصمه اكل في تونس رائع برشه شعب تونسي من الطف شعوب عربيه شعب راقي جدا كريم ومضياف لهم اجعل تونس بلدا امنا وكافه بلاد مسلم ,"[('انا', 'عشت'), ('عشت', 'في'), ('في', 'تونس'), ('تونس', 'حولي'), ('حولي', '3'), ('3', 'سنوات'), ('سنوات', 'اصغر'), ('اصغر', 'ابنائي'), ('ابنائي', 'مولود'), ('مولود', 'في'), ('في', 'تونس'), ('تونس', 'عاصمه'), ('عاصمه', 'اكل'), ('اكل', 'في'), ('في', 'تونس'), ('تونس', 'رائع'), ('رائع', 'برشه'), ('برشه', 'شعب'), ('شعب', 'تونسي'), ('تونسي', 'من'), ('من', 'الطف'), ('الطف', 'شعوب'), ('شعوب', 'عربيه'), ('عربيه', 'شعب'), ('شعب', 'راقي'), ('راقي', 'جدا'), ('جدا', 'كريم'), ('كريم', 'ومضياف'), ('ومضياف', 'لهم'), ('لهم', 'اجعل'), ('اجعل', 'تونس'), ('تونس', 'بلدا'), ('بلدا', 'امنا'), ('امنا', 'وكافه'), ('وكافه', 'بلاد'), ('بلاد', 'مسلم'), ('مسلم', '')]"
39,كل عربي يحب تونس يعمل لايك دعما سياحه في تونس,"[('كل', 'عربي'), ('عربي', 'يحب'), ('يحب', 'تونس'), ('تونس', 'يعمل'), ('يعمل', 'لايك'), ('لايك', 'دعما'), ('دعما', 'سياحه'), ('سياحه', 'في'), ('في', 'تونس')]"
40,احلي ناس توانسه شعب راقي محترم الله يسعد,"[('احلي', 'ناس'), ('ناس', 'توانسه'), ('توانسه', 'شعب'), ('شعب', 'راقي'), ('راقي', 'محترم'), ('محترم', 'الله'), ('الله', 'يسعد')]"
41,اطيب شعب اهل تونس  قمه في ذوق اخلاق  اخو من سعوديه ,"[('اطيب', 'شعب'), ('شعب', 'اهل'), ('اهل', 'تونس'), ('تونس', ''), ('', 'قمه'), ('قمه', 'في'), ('في', 'ذوق'), ('ذوق', 'اخلاق'), ('اخلاق', ''), ('', 'اخو'), ('اخو', 'من'), ('من', 'سعوديه'), ('سعوديه', '')]"
42,انا عجب اخو تونسي متربي ومضياف وناس ملاح هكذا هم تونسي اخو جزائري  اخو من جزائر,"[('انا', 'عجب'), ('عجب', 'اخو'), ('اخو', 'تونسي'), ('تونسي', 'متربي'), ('متربي', 'ومضياف'), ('ومضياف', 'وناس'), ('وناس', 'ملاح'), ('ملاح', 'هكذا'), ('هكذا', 'هم'), ('هم', 'تونسي'), ('تونسي', 'اخو'), ('اخو', 'جزائري'), ('جزائري', ''), ('', 'اخو'), ('اخو', 'من'), ('من', 'جزائر')]"
43,تونس في طعام اكل حضاره باتم معني كلمهجزائري محب,"[('تونس', 'في'), ('في', 'طعام'), ('طعام', 'اكل'), ('اكل', 'حضاره'), ('حضاره', 'باتم'), ('باتم', 'معني'), ('معني', 'كلمهجزائري'), ('كلمهجزائري', 'محب')]"
44,انا حال في تونس ,"[('انا', 'حال'), ('حال', 'في'), ('في', 'تونس'), ('تونس', '')]"
45,اقسم بالله اكل تونس غير عادي يهبل,"[('اقسم', 'بالله'), ('بالله', 'اكل'), ('اكل', 'تونس'), ('تونس', 'غير'), ('غير', 'عادي'), ('عادي', 'يهبل')]"
46,الله محيي اخوا توانسه غالي علي قلوب تحياتي لكم اخو من سوريه نحب برشا,"[('الله', 'محيي'), ('محيي', 'اخوا'), ('اخوا', 'توانسه'), ('توانسه', 'غالي'), ('غالي', 'علي'), ('علي', 'قلوب'), ('قلوب', 'تحياتي'), ('تحياتي', 'لكم'), ('لكم', 'اخو'), ('اخو', 'من'), ('من', 'سوريه'), ('سوريه', 'نحب'), ('نحب', 'برشا')]"
47,اللي من تونس يدز جام,"[('اللي', 'من'), ('من', 'تونس'), ('تونس', 'يدز'), ('يدز', 'جام')]"
48,تعالي عندي جزائر والله اتشرف وعيب انك اترد طلبي اني من متابعينك  مرحبا بيك فالجزائر فاي وقت تحيه لناس تونس,"[('تعالي', 'عندي'), ('عندي', 'جزائر'), ('جزائر', 'والله'), ('والله', 'اتشرف'), ('اتشرف', 'وعيب'), ('وعيب', 'انك'), ('انك', 'اترد'), ('اترد', 'طلبي'), ('طلبي', 'اني'), ('اني', 'من'), ('من', 'متابعينك'), ('متابعينك', ''), ('', 'مرحبا'), ('مرحبا', 'بيك'), ('بيك', 'فالجزائر'), ('فالجزائر', 'فاي'), ('فاي', 'وقت'), ('وقت', 'تحيه'), ('تحيه', 'لناس'), ('لناس', 'تونس')]"
49,مشاء الله تونس واهل عنذ مكان كبيره فقلبي تحيه لكم من اخت مغربيه,"[('مشاء', 'الله'), ('الله', 'تونس'), ('تونس', 'واهل'), ('واهل', 'عنذ'), ('عنذ', 'مكان'), ('مكان', 'كبيره'), ('كبيره', 'فقلبي'), ('فقلبي', 'تحيه'), ('تحيه', 'لكم'), ('لكم', 'من'), ('من', 'اخت'), ('اخت', 'مغربيه')]"
50,نفسي اشتغل واعيش في تونس بشعق بلد دي من صغري,"[('نفسي', 'اشتغل'), ('اشتغل', 'واعيش'), ('واعيش', 'في'), ('في', 'تونس'), ('تونس', 'بشعق'), ('بشعق', 'بلد'), ('بلد', 'دي'), ('دي', 'من'), ('من', 'صغري')]"
